item_name,item_id,item_category_id,sales_volumn,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,total_sales,initial_date,medianPrice
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,01.09.2014,58.0
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,6.0,0.0,0.0,0.0,0.0,0.0,8980.0,13470.0,4490.0,0.0,0.0,0.0,26940.0,04.04.2014,4490.0
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,116.0,24.08.2014,58.0
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,158.0,05.07.2014,100.0
***КОРОБКА (СТЕКЛО)                       D,4,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,19.09.2014,58.0
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,14.12.2014,28.0
***УДАР ПО ВОРОТАМ (UNI)               D,6,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,19.07.2014,100.0
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,14.12.2014,28.0
***ЧАЙ С МУССОЛИНИ                     D,8,40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,116.0,26.08.2014,58.0
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,07.08.2014,58.0
